qid,lang,description
Q170790,ru,специалист в области математики
Q170790,pt,pessoa que se dedica ao estudo da matemática
Q170790,da,person der beskæftiger sig med matematik
Q170790,de,Person mit weitreichenden mathematischen Kenntnissen
Q170790,zh,在數學方面擁有淵博知識的人
Q170790,cs,"osoba, která má rozšířené znalosti matematiky"
Q170790,uk,"фахівець/фахівчиня, що займається розвитком математики"
Q170790,nl,persoon met grote kennis van wiskunde
Q170790,pl,naukowiec rozwijający matematykę
Q170790,he,אדם העוסק במתמטיקה
Q170790,fa,فردی با دانش گسترده در ریاضیات
Q170790,bn,গণিত বিষয়ে বিস্তৃত জ্ঞানের অধিকারী ব্যক্তি
Q170790,id,Ilmuwan yang berkontribusi mengembangkan ilmu matematika
Q170790,sk,"osoba, ktorého primárnou oblasťou štúdia je matematika"
Q170790,fi,matematiikan tutkija ja asiantuntija
Q170790,hu,"szakma, tudós"
Q170790,ko,수학을 전공으로 하는 학자
Q170790,ja,数学に属する分野の事柄を第一に、調査および研究する者を指していう呼称
Q170790,bg,"учен, който се занимава с изучаване и научни изследвания в областта на математиката"
Q170790,tr,matematik problemlerini çözmek için çalışmalarında kapsamlı bir matematik bilgisini kullanan kişi
Q170790,sv,yrke
Q170790,te,గణితశాస్త్రంలో విస్తృతమైన పరిజ్ఞానం ఉన్న వ్యక్తి
Q170790,sl,"strokovnjak, ki raziskuje ali poučuje matematiko"
Q170790,ar,شخص لديه معرفة واسعة بالرياضيات
Q170790,ro,persoană cu cunoștințe vaste de matematică
Q170790,hi,गणित का व्यापक ज्ञान रखने वाला व्यक्ति
Q253567,de,"Mensch, der sich in einer Berufsausbildung befindet"
Q253567,fr,personne qui apprend un métier
Q253567,es,persona que aprende un oficio
Q253567,hi,apprenticeship
Q253567,en,person learning a trade
Q253567,zh,实习工人
Q253567,fa,یک نوع نظام آموزشی
Q253567,cs,"obecné označení pro člověka, který se systematicky připravuje na své budoucí povolání"
Q253567,ro,persoană care învață o meserie
Q253567,sl,oseba na poklicnem usposabljanju
Q253567,sv,person som håller på att utbilda sig till något under en yrkesverksam mästare ellr mentor inom detta område
Q253567,he,אדם הלומד מקצוע
Q253567,ja,徒弟制度において訓練を受けている者
Q253567,it,persona che è in formazione professionale
Q253567,ko,수공업적 기능의 후계자를 양성하던 제도
Q252924,es,"oficio del trabajador especializado en la instalación y mantenimiento de sistemas de abastecimiento de agua potable, de aguas residuales, y drenaje"
Q252924,da,håndværker
Q252924,ru,"работник, занимающийся монтажом, эксплуатацией или ремонтом санитарно-технического оборудования"
Q252924,en,"profession; tradesperson specialized in installing and maintaining systems used for potable water, sewage and drainage in plumbing systems"
Q252924,cs,"stavební řemeslník, který provádí instalace rozvodů"
Q252924,de,Beruf
Q252924,fr,profession
Q252924,fi,ammattinimike
Q252924,it,professione
Q252924,sv,yrke
Q252924,tr,"meslek; sıhhi tesisat sistemlerinde içme suyu, kanalizasyon ve drenaj için kullanılan sistemlerin kurulumunda ve bakımında uzmanlaşmış kişi"
Q252924,mt,persuna speċjalizzata fl-installazzjoni u fil-manutenzjoni tas-sistemi tal-ilma tax-xorb u tad-dranaġġ
Q252924,hu,foglalkozás
Q252924,nl,"vakman voor aanleg en onderhoud van sanitair, verwarmingsinstallaties, waterleidingen en/of riolering"
Q252924,pt,"profissional especializado na instalação e manutenção de sistemas utilizados para água potável, esgotos e drenagem em sistemas de canalização"
Q252924,he,בעל מקצוע העוסק בשרברבות
Q252924,ro,"profesie; meseriaș specializat în instalarea și întreținerea sistemelor utilizate pentru apă potabilă, canalizare și drenaj în sistemele de instalații sanitare"
Q196721,es,especialista en mecanizado de piezas
Q196721,fa,مهندسی که در زمینه رشته مکانیک فعالیت می‌کند
Q196721,da,profession
Q196721,en,"person who machines using hand tools and machine tools to create or modify a part that is made of metal, plastics, or wood"
Q196721,de,Ausbildungsberuf
Q196721,ru,"человек, который обрабатывает с помощью ручных инструментов и станков детали, изготовленные из металла, пластика или дерева"
Q196721,hu,szakma
Q196721,ar,مهنة
Q196721,nl,beroep rond draaien en frezen van precisiewerk
Q196721,id,"orang yang mesin menggunakan perkakas tangan dan perkakas mesin untuk membuat atau memodifikasi bagian yang terbuat dari logam, plastik, atau kayu"
Q196721,fr,métier dans l'industrie
Q196721,pt,"operador de máquina operatriz, especializado em torneamento, processamento por corte de peças rotativas ou ferramentas de corte rotativas"
Q196721,ja,機械加工を行う人。手工具や工作機械を使用して、金属やプラスチック、木材でできた部品を作成・修正する
Q196721,sl,"oseba, ki z ročnimi in strojnimi orodji izdeluje ali spreminja del, ki je izdelan iz kovine, plastike ali lesa"
Q196721,pl,zajęcie
Q196721,ro,"persoană ce prelucrează mecanic folosind unelte manuale și mașini-unelte pentru a crea sau modifica o piesă fabricată din metal, plastic sau lemn"
Q196721,ko,"여러 가지 형태의 기계금속 제품의 제작 및 기계장치를 조립, 설치, 수리하는 일에 종사하는 공원"
Q196853,de,ehemaliger deutscher Automobilhersteller
Q196853,en,automobile manufacturer
Q196853,fr,ancien constructeur automobile
Q196853,uk,виробник автомобілів
Q196992,de,"Beruf, eine in der Freizeit ausgeübte Tätigkeit bzw. eine historische Bezeichnung in der Armee"
Q196992,en,"profession, a leisure activity or a historical term in the army"
Q196992,fr,"Profession, une activité de loisir ou un nom historique de l'armée"
Q196986,de,"alte Berufsbezeichnung eines Tuchmachers, der aus gekämmter Schafwolle leichte Stoffe herstellte"
Q196986,fr,"terme allemand: ancien nom d'un drapier, qui produites les tissus légers produits de laine peignée"
Q196986,en,"German term: ancient name of a professional clothier, who produced light fabrics of combed wool"
Q197145,de,Automobilhersteller
Q197145,en,automobile manufacturer
Q197145,fr,constructeur automobile chinois
Q197145,uk,виробник автомобілів
Q197541,de,ehemalige chinesische Automarke
Q197541,en,company
Q197541,fr,constructeur automobile
Q197541,ar,شركة صينية
Q197541,uk,компанія
